"LOCATION ACCOUNT #","BUSINESS NAME","DBA NAME","STREET ADDRESS","CITY","ZIP CODE","LOCATION DESCRIPTION","MAILING ADDRESS","MAILING CITY","MAILING ZIP CODE","NAICS","PRIMARY NAICS DESCRIPTION","COUNCIL DISTRICT","LOCATION START DATE","LOCATION END DATE","LOCATION"
"0000017619-0001-0","ORLANDO AMAYA/MARTA AMAYA","ROSIE'S DISCOUNT STORE","1851 ARLINGTON AVENUE","LOS ANGELES","90019-6225","1851 ARLINGTON 90019-6225",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","10","02/01/2000",,"POINT (-118.3177 34.0399)"
"0000019624-0001-5","RANDOLPH E LOWE","R ANDYS MINI MARKET | RANDY'S MINI MARKET","1958 E 103RD STREET","LOS ANGELES","90002-3124","1958 103RD 90002-3124",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","15","02/16/1993",,"POINT (-118.2377 33.9431)"
"0000020037-0001-4","KITOV INC","SANTA MONICA KOSHER MARKET","11540 SANTA MONICA BLVD   SUITE #101","LOS ANGELES","90025-7905","11540 SANTA MONICA 90025-7905","11540 SANTA MONICA BLVD   SUITE #205","LOS ANGELES","90025-7905","445100","Grocery stores (including supermarkets & convenience stores without gas)","11","05/18/2003",,"POINT (-118.4525 34.045)"
"0000020846-0001-9","HEIDI KYUNG LEE","WEST LIQUOR","701 E MANCHESTER AVENUE","LOS ANGELES","90001-3632","701 MANCHESTER 90001-3632",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","9","03/16/2000",,"POINT (-118.2629 33.9602)"
"0000023977-0001-4","B & B LIQUOR INC","B & B LIQUOR MARKET","8207 S WESTERN AVENUE","LOS ANGELES","90047-3036","8207 WESTERN 90047-3036",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","8","07/30/2003",,"POINT (-118.3089 33.9644)"
"0000031552-0001-3","SANTOS A GONZALEZ","CONCHITA MARKET","3432 N BROADWAY","LOS ANGELES","90031-2832","3432 BROADWAY 90031-2832","10346 OTIS STREET","SOUTH GATE","90280-6720","445100","Grocery stores (including supermarkets & convenience stores without gas)","14","07/13/1992",,"POINT (-118.2047 34.0737)"
"0000032242-0002-1","SMART & FINAL STORES LLC","SMART & FINAL #511","2511 DALY STREET","LOS ANGELES","90031-2222","2511 DALY 90031-2222","POST OFFICE BOX #512377","LOS ANGELES","90051-0377","445100","Grocery stores (including supermarkets & convenience stores without gas)","1","10/06/2009",,"POINT (-118.2156 34.0749)"
"0000032242-0004-7","SMART & FINAL STORES LLC","SMART/FINAL #345 | SMART/FINAL IRIS CO DIV #345","2308 E 4TH STREET","LOS ANGELES","90033-4306","2308 4TH 90033-4306","POST OFFICE BOX #512377","LOS ANGELES","90051-0377","445100","Grocery stores (including supermarkets & convenience stores without gas)","14","01/01/1953",,"POINT (-118.2129 34.0411)"
"0000032242-0005-5","SMART & FINAL STORES LLC","SMART FINAL #337","8137 S VERMONT AVENUE #337","LOS ANGELES","90044-3535","8137 VERMONT 90044-3535","POST OFFICE BOX #512377","LOS ANGELES","90051-0377","445100","Grocery stores (including supermarkets & convenience stores without gas)","8","01/01/1953",,"POINT (-118.2918 33.9648)"
"0000032242-0007-1","SMART & FINAL STORES LLC","SMART & FINAL #363","939 N WESTERN AVENUE","LOS ANGELES","90029-3246","939 WESTERN 90029-3246","POST OFFICE BOX #512377","LOS ANGELES","90051-0377","445100","Grocery stores (including supermarkets & convenience stores without gas)","13","01/01/1953",,"POINT (-118.3091 34.0876)"
"0000032242-0008-0","SMART & FINAL STORES LLC","SMART & FINAL #364","2949 W PICO BLVD","LOS ANGELES","90006-3809","2949 PICO 90006-3809","POST OFFICE BOX #512377","LOS ANGELES","90051-0377","445100","Grocery stores (including supermarkets & convenience stores without gas)","10","01/01/1953",,"POINT (-118.3046 34.0472)"
"0000032242-0011-0","SMART & FINAL STORES LLC","SMART FINAL #310","1216 COMPTON AVENUE","LOS ANGELES","90021-2331","1216 COMPTON 90021-2331","POST OFFICE BOX #512377","LOS ANGELES","90051-0377","445100","Grocery stores (including supermarkets & convenience stores without gas)","14","02/01/1960",,"POINT (-118.242 34.0278)"
"0000032242-0013-6","SMART & FINAL STORES LLC","SMART & FINAL #315","12210 SANTA MONICA BLVD","LOS ANGELES","90025-2518","12210 SANTA MONICA 90025-2518","POST OFFICE BOX #512377","LOS ANGELES","90051-0377","445100","Grocery stores (including supermarkets & convenience stores without gas)","11","08/01/1984",,"POINT (-118.4646 34.04)"
"0000032242-0016-1","SMART & FINAL STORES LLC","SMART & FINAL #470","2929 CRENSHAW BLVD","LOS ANGELES","90016-4266","2929 CRENSHAW 90016-4266","POST OFFICE BOX #512377","LOS ANGELES","90051-0377","445100","Grocery stores (including supermarkets & convenience stores without gas)","10","11/23/1992",,
"0000032242-0018-7","SMART & FINAL STORES LLC","SMART & FINAL #459","2720 BEVERLY BLVD #459","LOS ANGELES","90057-1008","2720 BEVERLY 90057-1008","POST OFFICE BOX #512377","LOS ANGELES","90051-0377","445100","Grocery stores (including supermarkets & convenience stores without gas)","13","04/01/1994",,"POINT (-118.2778 34.0699)"
"0000032242-0020-9","SMART & FINAL STORES LLC","SMART & FINAL #456","3607 S VERMONT AVENUE","LOS ANGELES","90007-3945","3607 VERMONT 90007-3945","POST OFFICE BOX #512377","LOS ANGELES","90051-0377","445100","Grocery stores (including supermarkets & convenience stores without gas)","9","07/11/1994",,"POINT (-118.2915 34.0229)"
"0000032242-0021-7","SMART & FINAL STORES LLC","SMART & FINAL #413","6060 N FIGUEROA STREET","LOS ANGELES","90042-4232","6060 FIGUEROA 90042-4232","POST OFFICE BOX #512377","LOS ANGELES","90051-0377","445100","Grocery stores (including supermarkets & convenience stores without gas)","14","10/15/1995",,"POINT (-118.1882 34.1117)"
"0000032242-0022-5","SMART & FINAL STORES LLC","SMART & FINAL #330","10113 VENICE BLVD #330","LOS ANGELES","90034-5809","10113 VENICE 90034-5809","POST OFFICE BOX #512377","LOS ANGELES","90051-0377","445100","Grocery stores (including supermarkets & convenience stores without gas)","5","04/17/1978",,"POINT (-118.4004 34.0224)"
"0000032242-0023-3","SMART & FINAL STORES LLC","SMART & FINAL #371","5555 WILSHIRE BLVD","LOS ANGELES","90036-3808","5555 WILSHIRE 90036-3808","POST OFFICE BOX #512377","LOS ANGELES","90051-0377","445100","Grocery stores (including supermarkets & convenience stores without gas)","5","12/29/1997",,"POINT (-118.3495 34.0624)"
"0000032242-0024-1","SMART & FINAL STORES LLC","SMART & FINAL #395","11221 W PICO BLVD","LOS ANGELES","90064-1714","11221 PICO 90064-1714","POST OFFICE BOX #512377","LOS ANGELES","90051-0377","445100","Grocery stores (including supermarkets & convenience stores without gas)","5","11/20/1998",,"POINT (-118.4378 34.0356)"
"0000032242-0028-4","SMART & FINAL STORES LLC",,"845 S FIGUEROA STREET","LOS ANGELES","90017-2515","845 FIGUEROA 90017-2515","POST OFFICE BOX #512377","LOS ANGELES","90051-0377","445100","Grocery stores (including supermarkets & convenience stores without gas)","14","07/18/2013",,"POINT (-118.2621 34.0469)"
"0000032242-0029-2","SMART & FINAL STORES LLC","SMART & FINAL #444","4550 W PICO BLVD SUITE #D303","LOS ANGELES","90019-4271","4550 PICO 90019-4271",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","10","04/02/2014",,"POINT (-118.3357 34.0487)"
"0000032242-0033-1","SMART & FINAL STORES LLC",,"1833 S LA CIENEGA BLVD #B","LOS ANGELES","90035-4662","1833 LA CIENEGA 90035-4662","POST OFFICE BOX #512377","LOS ANGELES","90051-0377","445100","Grocery stores (including supermarkets & convenience stores without gas)","10","01/01/2016",,"POINT (-118.3769 34.0432)"
"0000032242-0035-7","SMART & FINAL STORES LLC","SMART & FINAL #823","9850 S LAUREL STREET","LOS ANGELES","90002-0002","9850 LAUREL 90002-0002","600 CITADEL DRIVE","COMMERCE","90040-1562","445100","Grocery stores (including supermarkets & convenience stores without gas)","15","09/11/2019",,"POINT (-118.2462 33.9493)"
"0000042479-0001-8","SOFIA GALVEZ","GALVEZ MARKET","2040 MARENGO STREET","LOS ANGELES","90033-1353","2040 MARENGO 90033-1353",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","14","07/14/2003",,"POINT (-118.2071 34.0565)"
"0000043212-0001-5","C & C MARKET INC","C/C MARKET","1106 E 7TH STREET","LOS ANGELES","90021-1504","1106 7TH 90021-1504",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","14","09/01/1992",,"POINT (-118.2428 34.0379)"
"0000044169-0001-4","GERMAN RODAS","EL TURCO MEAT MARKET","1101 S VERMONT AVENUE SUITE #109","LOS ANGELES","90006-2700","1101 VERMONT 90006-2700","1101 S VERMONT AVENUE SUITE #109","LOS ANGELES","90006-2700","445100","Grocery stores (including supermarkets & convenience stores without gas)","1","01/01/2006",,"POINT (-118.2916 34.0507)"
"0000045390-0001-8","RHA INC","ART'S 76","5890 HOLLYWOOD BLVD","LOS ANGELES","90028-5611","5890 HOLLYWOOD 90028-5611",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","13","03/20/2000",,"POINT (-118.3178 34.1016)"
"0000045415-0001-0","SAINSBURY MARKET INC","SAINSBURY MARKET","12200 WILSHIRE BLVD #101","LOS ANGELES","90025-1217","12200 WILSHIRE 90025-1217",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","11","03/28/1993",,"POINT (-118.4683 34.0434)"
"0000048499-0001-9","SURESH C/USHA JAIN","7-ELEVEN STORE 20580D","5962 W PICO BLVD","LOS ANGELES","90035-2658","5962 PICO 90035-2658","POST OFFICE BOX #219088","DALLAS","75221-9088","445100","Grocery stores (including supermarkets & convenience stores without gas)","10","01/09/1993",,"POINT (-118.3696 34.052)"
"0000050153-0002-9","RITE-ON MARKET INC",,"9824 S BROADWAY","LOS ANGELES","90003-4124","9824 BROADWAY 90003-4124","213 W 98TH STREET","LOS ANGELES","90003-4110","445100","Grocery stores (including supermarkets & convenience stores without gas)","8","07/29/1999",,"POINT (-118.2781 33.947)"
"0000052897-0001-5","JOSE E REYES",,"1640 E 52ND STREET","LOS ANGELES","90011-5008","1640 52ND 90011-5008",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","9","05/07/1999",,"POINT (-118.2447 33.9957)"
"0000055547-0001-4","DALLAE INC","PINCHER'S LIQUOR","5121 W PICO BLVD","LOS ANGELES","90019-4133","5121 PICO 90019-4133",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","10","11/01/2004",,"POINT (-118.3497 34.048)"
"0000056957-0001-8","RAJEEV WALIA ENTERPRISES /C","7-ELEVEN STORE 20396G","2801 JAMES M WOOD BLVD","LOS ANGELES","90006-1701","2801 JAMES M WOOD 90006-1701","POST OFFICE BOX #219088","DALLAS","75221-9088","445100","Grocery stores (including supermarkets & convenience stores without gas)","1","10/25/2000",,"POINT (-118.2891 34.0558)"
"0000071052-0001-8","YRT INC","FRANKLIN 76","6051 FRANKLIN AVENUE","LOS ANGELES","90028-5522","6051 FRANKLIN 90028-5522",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","13","12/19/2003",,"POINT (-118.3212 34.1052)"
"0000071466-0001-2","CECILIA CRUZ","CECYS MARKET","1256 N EDGEMONT STREET #2","LOS ANGELES","90029-1595","1256 EDGEMONT 90029-1595",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","13","10/01/1992",,"POINT (-118.2961 34.0945)"
"0000075032-0003-6","BERBERIAN ENTERPRISES INC","JONS MARKET #1","3667 W 3RD STREET","LOS ANGELES","90020-2042","3667 3RD 90020-2042","5315 SANTA MONICA BLVD","LOS ANGELES","90029-1105","445100","Grocery stores (including supermarkets & convenience stores without gas)","10","03/01/1977",,"POINT (-118.2958 34.069)"
"0000075032-0005-2","BERBERIAN ENTERPRISES INC","JONS MARKET #3","3334 W 8TH STREET","LOS ANGELES","90005-2435","3334 8TH 90005-2435","5315 SANTA MONICA BLVD","LOS ANGELES","90029-1105","445100","Grocery stores (including supermarkets & convenience stores without gas)","10","04/01/1984",,"POINT (-118.3009 34.0576)"
"0000075032-0006-1","BERBERIAN ENTERPRISES INC","JONS MARKET #7 | JONS MARKET#7","5311 SANTA MONICA BLVD","LOS ANGELES","90029-1105","5311 SANTA MONICA 90029-1105","5315 SANTA MONICA BLVD","LOS ANGELES","90029-1105","445100","Grocery stores (including supermarkets & convenience stores without gas)","13","07/22/1988",,"POINT (-118.3052 34.0907)"
"0000075032-0007-9","BERBERIAN ENTERPRISES INC","JONS MARKEPLACE #70 | JONS MARKETPLACE #70","5315 SANTA MONICA BLVD","LOS ANGELES","90029-1105","5315 SANTA MONICA 90029-1105","5315 SANTA MONICA BLVD","LOS ANGELES","90029-1105","445100","Grocery stores (including supermarkets & convenience stores without gas)","13","08/10/1989",,"POINT (-118.3052 34.0907)"
"0000075032-0009-5","BERBERIAN ENTERPRISES INC","JONS MARKET #11 | JONS MARKET#11","1601 N VERMONT AVENUE","LOS ANGELES","90027-5312","1601 VERMONT 90027-5312","5315 SANTA MONICA BLVD","LOS ANGELES","90029-1105","445100","Grocery stores (including supermarkets & convenience stores without gas)","13","06/30/1994",,"POINT (-118.2917 34.1005)"
"0000077103-0001-6","ALI SYED","A.O. GARCIA | KINGS MARKET","8000 S WESTERN AVENUE","LOS ANGELES","90047-2718","8000 WESTERN 90047-2718",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","8","07/01/1993",,"POINT (-118.309 33.9663)"
"0000077915-0001-4","MENGIS TESFALDET","H V M MARKET | HVM MARKET","801 W VERNON AVENUE","LOS ANGELES","90037-3023","801 VERNON 90037-3023","801 W VERNON AVENUE","LOS ANGELES","90037-3023","445100","Grocery stores (including supermarkets & convenience stores without gas)","9","08/01/2003",,"POINT (-118.2871 34.0037)"
"0000083049-0001-7","JEFFREY JAFAR","911 FOOD MART","11909 W PICO BLVD","LOS ANGELES","90064-1312","11909 PICO 90064-1312",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","11","04/02/2000",,
"0000096220-0001-3","M & M SILVER OAKS /C","7-ELEVEN STORE #17635 | 7-ELEVEN STORE #17635E","1647 SILVER LAKE BLVD","LOS ANGELES","90026-1310","1647 SILVER LAKE 90026-1310","POST OFFICE BOX #219088","DALLAS","75221-9088","445100","Grocery stores (including supermarkets & convenience stores without gas)","13","11/08/1993",,"POINT (-118.2689 34.0887)"
"0000100747-0002-6","ALBERTSONS LLC","ALBERTSONS #387","2035 HILLHURST AVENUE","LOS ANGELES","90027-2702","2035 HILLHURST 90027-2702","251 LITTLE FALLS DRIVE","WILMINGTON","19808-1674","445100","Grocery stores (including supermarkets & convenience stores without gas)","4","03/22/2013",,"POINT (-118.2874 34.1086)"
"0000100747-0003-4","ALBERTSONS LLC","ALBERTSONS #4131","3901 CRENSHAW BLVD","LOS ANGELES","90008-2522","3901 CRENSHAW 90008-2522","251 LITTLE FALLS DRIVE","WILMINGTON","19808-1674","445100","Grocery stores (including supermarkets & convenience stores without gas)","8","03/22/2013",,"POINT (-118.3351 34.0145)"
"0000101543-0006-1","MOTHERS NUTRITIONAL CENTER INC",,"260 E MANCHESTER AVENUE UNIT #A & B","LOS ANGELES","90003-3418","260 MANCHESTER 90003-3418","13635 FREEWAY DRIVE","SANTA FE SPRINGS","90670-5622","445100","Grocery stores (including supermarkets & convenience stores without gas)","9","10/25/2010",,"POINT (-118.2695 33.96)"
"0000101543-0018-5","MOTHERS NUTRITIONAL CENTER INC","MOTHER'S NUTRITIONAL CENTER","10223 S CENTRAL AVENUE","LOS ANGELES","90002-3320","10223 CENTRAL 90002-3320","13635 FREEWAY DRIVE","SANTA FE SPRINGS","90670-5622","445100","Grocery stores (including supermarkets & convenience stores without gas)","8","06/01/2014",,"POINT (-118.2541 33.9439)"
"0000101554-0001-9","MOTHERS NUTRITIONAL CENTER INC",,"4222 BEVERLY BLVD","LOS ANGELES","90004-4430","4222 BEVERLY 90004-4430","13635 FREEWAY DRIVE","SANTA FE SPRINGS","90670-5622","445100","Grocery stores (including supermarkets & convenience stores without gas)","10","10/01/2003",,"POINT (-118.3009 34.0762)"
"0000104860-0001-1","RODOLFO GOMEZ","CIMARRON MARKET","2679 CIMARRON STREET","LOS ANGELES","90018-2528","2679 CIMARRON 90018-2528","2217 W 29TH PLACE","LOS ANGELES","90018-2541","445100","Grocery stores (including supermarkets & convenience stores without gas)","10","05/01/2000",,"POINT (-118.3151 34.0311)"
"0000105439-0001-5","SILOM SUPERMARKET INC","SILOM SUPERMARKET","5321 HOLLYWOOD BLVD","LOS ANGELES","90027-4910","5321 HOLLYWOOD 90027-4910","1100 N MAIN STREET","LOS ANGELES","90012-1832","445100","Grocery stores (including supermarkets & convenience stores without gas)","13","05/01/1993",,"POINT (-118.3062 34.1017)"
"0000106070-0001-3","NAT STORES GROUP, INC.","7-ELEVEN STORE 21565C","1451 S LA CIENEGA BLVD","LOS ANGELES","90035-3718","1451 LA CIENEGA 90035-3718","POST OFFICE BOX #219088","DALLAS","75221-9088","445100","Grocery stores (including supermarkets & convenience stores without gas)","10","06/07/1984",,"POINT (-118.3761 34.0518)"
"0000106397-0001-7","JULIA MI LEE","D J MARKET","3055 W 8TH STREET","LOS ANGELES","90005-1815","3055 8TH 90005-1815",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","10","10/27/2003",,"POINT (-118.2934 34.0577)"
"0000107080-0001-4","CARMEN C/AMADOR G HERNANDEZ","LUZON FOOD MART","4502 EAGLE ROCK BLVD","LOS ANGELES","90041-3215","4502 EAGLE ROCK 90041-3215",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","14","01/15/1994",,"POINT (-118.2189 34.126)"
"0000109223-0001-7","THE BOTTLE BAR INC",,"2642 CRENSHAW BLVD","LOS ANGELES","90016-3006","2642 CRENSHAW 90016-3006","2642 CRENSHAW BLVD","LOS ANGELES","90016-3006","445100","Grocery stores (including supermarkets & convenience stores without gas)","10","01/01/1985",,"POINT (-118.335 34.0317)"
"0000114476-0001-5","MIGUEL BERNAL","EL PRINSIPIO MARKET","2630 MAPLE AVENUE","LOS ANGELES","90011-1432","2630 MAPLE 90011-1432",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","9","08/05/1977",,"POINT (-118.2656 34.0231)"
"0000121916-0001-9","BEACHWOOD MARKET INC","BEACHWOOD MARKET","2701 BELDEN DRIVE","LOS ANGELES","90068-1927","2701 BELDEN 90068-1927",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","4","01/01/1949",,"POINT (-118.3214 34.1202)"
"0000123738-0001-3","MUSSIE MEBRAHTU MICHAEL/ISSAYAS MEBRAHTU MICHAEL","TEDDY'S MARKET","5511 S VERMONT AVENUE","LOS ANGELES","90037-3533","5511 VERMONT 90037-3533",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","9","04/16/1994",,"POINT (-118.2914 33.9922)"
"0000126238-0002-2","SUPER CENTER CONCEPTS INC","SUPERIOR GROCERS #301","1309 S ALVARADO STREET","LOS ANGELES","90006-4901","1309 Alvarado 90006-4901","15510 CARMENITA ROAD","SANTA FE SPRINGS","90670-5610","445100","Grocery stores (including supermarkets & convenience stores without gas)","1","02/05/2024",,"POINT (-118.2832 34.0467)"
"0000126238-0003-1","SUPER CENTER CONCEPTS INC","SUPERIOR GROCERS #303","9127 S FIGUEROA STREET","LOS ANGELES","90003-3905","9127 Figueroa 90003-3905","15510 CARMENITA ROAD","SANTA FE SPRINGS","90670-5610","445100","Grocery stores (including supermarkets & convenience stores without gas)","8","02/05/2024",,"POINT (-118.2831 33.9535)"
"0000126238-0004-9","SUPER CENTER CONCEPTS INC","SUPERIOR GROCERS #304","310 E MANCHESTER AVENUE","LOS ANGELES","90003-3522","310 Manchester 90003-3522","15510 CARMENITA ROAD","SANTA FE SPRINGS","90670-5610","445100","Grocery stores (including supermarkets & convenience stores without gas)","9","02/05/2024",,"POINT (-118.2685 33.9598)"
"0000126238-0005-7","SUPER CENTER CONCEPTS INC","SUPERIOR GROCERS #305","2214 S SAN PEDRO STREET","LOS ANGELES","90011-1128","2214 San Pedro 90011-1128","15510 CARMENITA ROAD","SANTA FE SPRINGS","90670-5610","445100","Grocery stores (including supermarkets & convenience stores without gas)","9","02/05/2024",,"POINT (-118.2595 34.0243)"
"0000126238-0006-5","SUPER CENTER CONCEPTS INC","SUPERIOR GROCERS #307","4710 S BROADWAY","LOS ANGELES","90037-3245","4710 Broadway 90037-3245","15510 CARMENITA ROAD","SANTA FE SPRINGS","90670-5610","445100","Grocery stores (including supermarkets & convenience stores without gas)","9","02/05/2024",,"POINT (-118.2779 34.0007)"
"0000126238-0008-1","SUPER CENTER CONCEPTS INC","SUPERIOR GROCERS #308","4373 S VERMONT AVENUE","LOS ANGELES","90037-2411","4373 VERMONT 90037-2411","15510 CARMENITA ROAD","SANTA FE SPRINGS","90670-5610","445100","Grocery stores (including supermarkets & convenience stores without gas)","0","02/05/2024",,
"0000126238-0012-0","SUPER CENTER CONCEPTS INC","SUPERIOR GROCERS #301","701 E JEFFERSON BLVD","LOS ANGELES","90011-2434","701 Jefferson 90011-2434","15510 CARMENITA ROAD","SANTA FE SPRINGS","90670-5610","445100","Grocery stores (including supermarkets & convenience stores without gas)","9","02/05/2024",,"POINT (-118.2645 34.0155)"
"0000127562-0001-0","HABTE MOGOS","BIG O LIQUOR","4626 S VERMONT AVENUE","LOS ANGELES","90037-2926","4626 VERMONT 90037-2926",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","9",,,"POINT (-118.2915 34.0014)"
